coretemp,coretemp2,coretemp3,coretemp4,coretemp_t
36.4,36.4,36.4,36.4,36.8
36.7,36.9,36.9,36.9,37
36.2,36.9,36.9,36.7,36.4
36.3,36.8,36.8,37.3,36.6
36.9,36.7,36.7,36.2,36.7
36.4,37.3,37.3,37.2,36.1
36.2,37.2,37.2,36.3,
35.9,37.2,37.2,37,
36.2,36.2,36.2,36.9,
36.7,37.2,37.2,37.2,
36.6,37.2,37.2,37.2,
37.2,37.1,37.1,37.4,
,36.3,,,
,37.2,,,
,37,,,
,37,,,
,36.9,,,
,37.2,,,
,37.2,37.2,,
,37.2,37.2,,
,36.4,36.4,,
,37,37,,
,37,37,,
,36.8,36.8,,
,36.2,36.2,,
,36.9,36.9,,
,36.6,36.6,,
,36.7,36.7,,
,35.9,35.9,,
,36.6,36.6,,
,36.4,36.4,,
,36.5,36.5,,
,36.2,36.2,,
,36.7,36.7,,
,36.6,36.6,,
,36.5,36.5,,
,36.7,36.7,,
,37.1,37.1,,
,37.1,37.1,,
,37.2,37.2,,
,36.6,36.6,,
,37.4,37.4,,
,37.3,37.3,,
,37.1,37.1,,
,37.2,37.2,,
,37.4,37.4,,
,37.2,37.2,,
,37.1,37.1,,
,36.8,36.8,,
,37,37,,
,36.4,36.4,,
,36.6,36.6,,
,36.7,36.7,,
,36.1,36.1,,
